"FIPS","YEAR","LINECODE","LINETITLE","AREANAME","VALUE"
"13000",1969,"0020","Population (persons)","Georgia state total [13000]",4551000.00
"13000",1970,"0020","Population (persons)","Georgia state total [13000]",4605421.00
"13000",1971,"0020","Population (persons)","Georgia state total [13000]",4710272.00
"13000",1972,"0020","Population (persons)","Georgia state total [13000]",4807151.00
"13000",1973,"0020","Population (persons)","Georgia state total [13000]",4906940.00
"13000",1974,"0020","Population (persons)","Georgia state total [13000]",4994870.00
"13000",1975,"0020","Population (persons)","Georgia state total [13000]",5058535.00
"13000",1976,"0020","Population (persons)","Georgia state total [13000]",5126155.00
"13000",1977,"0020","Population (persons)","Georgia state total [13000]",5211771.00
"13000",1978,"0020","Population (persons)","Georgia state total [13000]",5286148.00
"13000",1979,"0020","Population (persons)","Georgia state total [13000]",5391265.00
"13000",1980,"0020","Population (persons)","Georgia state total [13000]",5486174.00
"13000",1981,"0020","Population (persons)","Georgia state total [13000]",5568346.00
"13000",1982,"0020","Population (persons)","Georgia state total [13000]",5649788.00
"13000",1983,"0020","Population (persons)","Georgia state total [13000]",5728248.00
"13000",1984,"0020","Population (persons)","Georgia state total [13000]",5834943.00
"13000",1985,"0020","Population (persons)","Georgia state total [13000]",5962639.00
"13000",1986,"0020","Population (persons)","Georgia state total [13000]",6084645.00
"13000",1987,"0020","Population (persons)","Georgia state total [13000]",6208479.00
"13000",1988,"0020","Population (persons)","Georgia state total [13000]",6316139.00
"13000",1989,"0020","Population (persons)","Georgia state total [13000]",6411117.00
"13000",1990,"0020","Population (persons)","Georgia state total [13000]",6512602.00
"13000",1991,"0020","Population (persons)","Georgia state total [13000]",6653005.00
"13000",1992,"0020","Population (persons)","Georgia state total [13000]",6817203.00
"13000",1993,"0020","Population (persons)","Georgia state total [13000]",6978240.00
"13000",1994,"0020","Population (persons)","Georgia state total [13000]",7157165.00
"13000",1995,"0020","Population (persons)","Georgia state total [13000]",7328413.00
"13000",1996,"0020","Population (persons)","Georgia state total [13000]",7501069.00
"13000",1997,"0020","Population (persons)","Georgia state total [13000]",7685099.00
"13000",1998,"0020","Population (persons)","Georgia state total [13000]",7863536.00
"13000",1999,"0020","Population (persons)","Georgia state total [13000]",8045965.00
"13000",2000,"0020","Population (persons)","Georgia state total [13000]",8230087.00
"13000",2001,"0020","Population (persons)","Georgia state total [13000]",8391282.00
"13000",2002,"0020","Population (persons)","Georgia state total [13000]",8539735.00
"13000",2003,"0020","Population (persons)","Georgia state total [13000]",8676460.00
"13001",1969,"0020","Population (persons)","Appling, Georgia [13001]",12457.00
"13001",1970,"0020","Population (persons)","Appling, Georgia [13001]",12827.00
"13001",1971,"0020","Population (persons)","Appling, Georgia [13001]",13341.00
"13001",1972,"0020","Population (persons)","Appling, Georgia [13001]",13647.00
"13001",1973,"0020","Population (persons)","Appling, Georgia [13001]",14376.00
"13001",1974,"0020","Population (persons)","Appling, Georgia [13001]",14546.00
"13001",1975,"0020","Population (persons)","Appling, Georgia [13001]",14765.00
"13001",1990,"0020","Population (persons)","Appling, Georgia [13001]",15776.00
"13001",1991,"0020","Population (persons)","Appling, Georgia [13001]",16020.00
"13001",1992,"0020","Population (persons)","Appling, Georgia [13001]",16172.00
"13001",1993,"0020","Population (persons)","Appling, Georgia [13001]",16273.00
"13001",1994,"0020","Population (persons)","Appling, Georgia [13001]",16323.00
"13001",1995,"0020","Population (persons)","Appling, Georgia [13001]",16540.00
"13001",1996,"0020","Population (persons)","Appling, Georgia [13001]",16728.00
"13001",1997,"0020","Population (persons)","Appling, Georgia [13001]",16892.00
"13001",1998,"0020","Population (persons)","Appling, Georgia [13001]",17116.00
"13001",1999,"0020","Population (persons)","Appling, Georgia [13001]",17323.00
"13001",2000,"0020","Population (persons)","Appling, Georgia [13001]",17421.00
"13001",2001,"0020","Population (persons)","Appling, Georgia [13001]",17533.00
"13001",2002,"0020","Population (persons)","Appling, Georgia [13001]",17641.00
"13001",2003,"0020","Population (persons)","Appling, Georgia [13001]",17856.00
"13003",1983,"0020","Population (persons)","Atkinson, Georgia [13003]",6132.00
"13003",1984,"0020","Population (persons)","Atkinson, Georgia [13003]",6196.00
"13003",1985,"0020","Population (persons)","Atkinson, Georgia [13003]",6332.00
"13003",1986,"0020","Population (persons)","Atkinson, Georgia [13003]",6373.00
"13003",1987,"0020","Population (persons)","Atkinson, Georgia [13003]",6298.00
"13003",1988,"0020","Population (persons)","Atkinson, Georgia [13003]",6265.00
"13003",1989,"0020","Population (persons)","Atkinson, Georgia [13003]",6231.00
"13003",1990,"0020","Population (persons)","Atkinson, Georgia [13003]",6223.00
"13003",1991,"0020","Population (persons)","Atkinson, Georgia [13003]",6240.00
"13003",1992,"0020","Population (persons)","Atkinson, Georgia [13003]",6330.00
"13003",1993,"0020","Population (persons)","Atkinson, Georgia [13003]",6579.00
"13003",1994,"0020","Population (persons)","Atkinson, Georgia [13003]",6718.00
"13003",1995,"0020","Population (persons)","Atkinson, Georgia [13003]",6914.00
"13003",1996,"0020","Population (persons)","Atkinson, Georgia [13003]",7160.00
"13005",1976,"0020","Population (persons)","Bacon, Georgia [13005]",9225.00
"13005",1977,"0020","Population (persons)","Bacon, Georgia [13005]",9355.00
"13005",1978,"0020","Population (persons)","Bacon, Georgia [13005]",9324.00
"13005",1979,"0020","Population (persons)","Bacon, Georgia [13005]",9230.00
"13005",1980,"0020","Population (persons)","Bacon, Georgia [13005]",9402.00
"13005",1981,"0020","Population (persons)","Bacon, Georgia [13005]",9477.00
"13005",1982,"0020","Population (persons)","Bacon, Georgia [13005]",9577.00
"13005",1983,"0020","Population (persons)","Bacon, Georgia [13005]",9648.00
"13005",1984,"0020","Population (persons)","Bacon, Georgia [13005]",9734.00
"13005",1985,"0020","Population (persons)","Bacon, Georgia [13005]",9718.00
"13005",1986,"0020","Population (persons)","Bacon, Georgia [13005]",9732.00
"13005",1987,"0020","Population (persons)","Bacon, Georgia [13005]",9884.00
"13005",1988,"0020","Population (persons)","Bacon, Georgia [13005]",9701.00
"13005",1989,"0020","Population (persons)","Bacon, Georgia [13005]",9620.00
"13007",1969,"0020","Population (persons)","Baker, Georgia [13007]",3859.00
"13007",1970,"0020","Population (persons)","Baker, Georgia [13007]",3822.00
"13007",1971,"0020","Population (persons)","Baker, Georgia [13007]",3608.00
"13007",1972,"0020","Population (persons)","Baker, Georgia [13007]",3706.00
"13007",1973,"0020","Population (persons)","Baker, Georgia [13007]",3903.00
"13007",1974,"0020","Population (persons)","Baker, Georgia [13007]",3800.00
"13007",1975,"0020","Population (persons)","Baker, Georgia [13007]",3726.00
"13007",1976,"0020","Population (persons)","Baker, Georgia [13007]",3753.00
"13007",1977,"0020","Population (persons)","Baker, Georgia [13007]",3847.00
"13007",1978,"0020","Population (persons)","Baker, Georgia [13007]",3879.00
"13007",1979,"0020","Population (persons)","Baker, Georgia [13007]",3820.00
"13007",1980,"0020","Population (persons)","Baker, Georgia [13007]",3807.00
"13007",1981,"0020","Population (persons)","Baker, Georgia [13007]",3796.00
"13007",1982,"0020","Population (persons)","Baker, Georgia [13007]",3916.00
"13007",1997,"0020","Population (persons)","Baker, Georgia [13007]",4056.00
"13007",1998,"0020","Population (persons)","Baker, Georgia [13007]",4003.00
"13007",1999,"0020","Population (persons)","Baker, Georgia [13007]",4089.00
"13007",2000,"0020","Population (persons)","Baker, Georgia [13007]",4053.00
"13007",2001,"0020","Population (persons)","Baker, Georgia [13007]",4105.00
"13007",2002,"0020","Population (persons)","Baker, Georgia [13007]",4013.00
"13007",2003,"0020","Population (persons)","Baker, Georgia [13007]",4290.00
"13009",1969,"0020","Population (persons)","Baldwin, Georgia [13009]",34799.00
"13009",1970,"0020","Population (persons)","Baldwin, Georgia [13009]",34269.00
"13009",1971,"0020","Population (persons)","Baldwin, Georgia [13009]",34935.00
"13009",1972,"0020","Population (persons)","Baldwin, Georgia [13009]",33913.00
"13009",1973,"0020","Population (persons)","Baldwin, Georgia [13009]",34201.00
"13009",1974,"0020","Population (persons)","Baldwin, Georgia [13009]",34320.00
"13009",1975,"0020","Population (persons)","Baldwin, Georgia [13009]",35735.00
"13009",1990,"0020","Population (persons)","Baldwin, Georgia [13009]",39627.00
"13009",1991,"0020","Population (persons)","Baldwin, Georgia [13009]",40252.00
"13009",1992,"0020","Population (persons)","Baldwin, Georgia [13009]",40895.00
"13009",1993,"0020","Population (persons)","Baldwin, Georgia [13009]",41759.00
"13009",1994,"0020","Population (persons)","Baldwin, Georgia [13009]",42089.00
"13009",1995,"0020","Population (persons)","Baldwin, Georgia [13009]",42709.00
"13009",1996,"0020","Population (persons)","Baldwin, Georgia [13009]",43223.00
"13009",1997,"0020","Population (persons)","Baldwin, Georgia [13009]",43721.00
"13009",1998,"0020","Population (persons)","Baldwin, Georgia [13009]",43968.00
"13009",1999,"0020","Population (persons)","Baldwin, Georgia [13009]",44440.00
"13009",2000,"0020","Population (persons)","Baldwin, Georgia [13009]",44744.00
"13009",2001,"0020","Population (persons)","Baldwin, Georgia [13009]",44769.00
"13009",2002,"0020","Population (persons)","Baldwin, Georgia [13009]",44945.00
