year,naics,employment
2007,000000,2214833
2007,110000,538
2007,210000,1894
2007,220000,17500
2007,230000,146701
2007,310000,155799
2007,420000,148245
2007,440000,274930
2007,480000,117023
2007,510000,97746
2007,520000,124640
2007,530000,45852
2007,540000,180882
2007,550000,98987
2007,560000,205973
2007,610000,50958
2007,620000,210548
2007,710000,30169
2007,720000,212558
2007,810000,98309
2007,990000,188
2008,000000,2218090
2008,110000,515
2008,210000,1381
2008,220000,17500
2008,230000,138950
2008,310000,155469
2008,420000,147097
2008,440000,267444
2008,480000,115132
2008,510000,100956
2008,520000,118496
2008,530000,45792
2008,540000,182725
2008,550000,100177
2008,560000,206408
2008,610000,53055
2008,620000,222024
2008,710000,28084
2008,720000,217546
2008,810000,102107
2008,990000,196
2009,000000,2073320
2009,110000,421
2009,210000,1186
2009,220000,17500
2009,230000,113059
2009,310000,135117
2009,420000,139120
2009,440000,243980
2009,480000,106742
2009,510000,104901
2009,520000,110700
2009,530000,43555
2009,540000,188238
2009,550000,92707
2009,560000,171339
2009,610000,55455
2009,620000,221946
2009,710000,28151
2009,720000,205655
2009,810000,96396
2009,990000,149
2010,000000,2003047
2010,110000,416
2010,210000,1025
2010,220000,17500
2010,230000,94993
2010,310000,124031
2010,420000,134405
2010,440000,238189
2010,480000,103362
2010,510000,99043
2010,520000,106978
2010,530000,39884
2010,540000,174484
2010,550000,97821
2010,560000,170823
2010,610000,55430
2010,620000,225921
2010,710000,28143
2010,720000,200873
2010,810000,92629
2010,990000,162
2011,000000,2004006
2011,110000,398
2011,210000,1084
2011,220000,17500
2011,230000,93292
2011,310000,125613
2011,420000,133387
2011,440000,245002
2011,480000,105617
2011,510000,96589
2011,520000,105714
2011,530000,38486
2011,540000,166568
2011,550000,99000
2011,560000,171232
2011,610000,56148
2011,620000,228951
2011,710000,27907
2011,720000,202370
2011,810000,93394
2011,990000,197
2012,000000,2066662
2012,110000,469
2012,210000,1750
2012,220000,17500
2012,230000,88001
2012,310000,130328
2012,420000,135507
2012,440000,247197
2012,480000,106887
2012,510000,96839
2012,520000,106397
2012,530000,39919
2012,540000,178394
2012,550000,101942
2012,560000,185793
2012,610000,57111
2012,620000,241033
2012,710000,29611
2012,720000,212640
2012,810000,94095
2012,990000,136
2013,000000,2119397
2013,110000,474
2013,210000,1231
2013,220000,12883
2013,230000,93085
2013,310000,133107
2013,420000,140033
2013,440000,251210
2013,480000,113940
2013,510000,108594
2013,520000,107971
2013,530000,40884
2013,540000,181918
2013,550000,95044
2013,560000,190962
2013,610000,57420
2013,620000,237948
2013,710000,30089
2013,720000,224403
2013,810000,98008
2013,990000,175
2014,000000,2178578
2014,110000,489
2014,210000,1253
2014,220000,12351
2014,230000,104953
2014,310000,137589
2014,420000,143281
2014,440000,259255
2014,480000,114956
2014,510000,98174
2014,520000,111258
2014,530000,42848
2014,540000,187507
2014,550000,103289
2014,560000,196724
2014,610000,57449
2014,620000,244292
2014,710000,32043
2014,720000,234048
2014,810000,96586
2014,990000,233
