msa,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,year,id
12060,------,,G,2214833,G,25207047,G,98648182,137758,78980,22857,16018,11941,4300,2678,610,250,124,61,32,20,11,2007,7
12060,11----,,G,538,G,4695,G,20474,129,95,21,10,3,0,0,0,0,0,0,0,0,0,2007,13
12060,113///,,G,353,G,3403,G,13184,65,40,15,8,2,0,0,0,0,0,0,0,0,0,2007,22
12060,1131//,,H,39,H,384,H,1615,11,9,0,2,0,0,0,0,0,0,0,0,0,0,2007,32
12060,11311/,,H,39,H,384,H,1615,11,9,0,2,0,0,0,0,0,0,0,0,0,0,2007,40
12060,113110,,H,39,H,384,H,1615,11,9,0,2,0,0,0,0,0,0,0,0,0,0,2007,48
12060,1132//,B,D,0,D,0,D,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,2007,55
12060,11321/,B,D,0,D,0,D,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,2007,63
12060,113210,B,D,0,D,0,D,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,2007,71
12060,1133//,,G,278,G,2573,G,10265,51,30,15,4,2,0,0,0,0,0,0,0,0,0,2007,79
12060,11331/,,G,278,G,2573,G,10265,51,30,15,4,2,0,0,0,0,0,0,0,0,0,2007,87
12060,113310,,G,278,G,2573,G,10265,51,30,15,4,2,0,0,0,0,0,0,0,0,0,2007,95
12060,114///,,G,4,S,0,H,196,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2007,102
12060,1142//,,G,4,S,0,H,196,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2007,128
12060,11421/,,G,4,S,0,H,196,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2007,136
12060,114210,,G,4,S,0,H,196,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2007,144
12060,115///,,G,181,H,1248,H,7094,61,52,6,2,1,0,0,0,0,0,0,0,0,0,2007,148
12060,1151//,,H,31,G,217,G,764,6,4,1,1,0,0,0,0,0,0,0,0,0,0,2007,161
