id,year,naics,msa_total,msa_share,atl_total,atl_share,atl_location_quotient,basic_emp,n_basic_emp,emp_mul
1,2007,------,113181762,1.000,2214833,1.000,1.000,0,2214833,0.000
2,2007,11----,135578,0.001,538,0.000,0.203,0,538,
3,2007,113///,41934,0.000,353,0.000,0.430,0,353,
4,2007,1131//,3265,0.000,39,0.000,0.610,0,39,
5,2007,11311/,3265,0.000,39,0.000,0.610,0,39,
6,2007,113110,3265,0.000,39,0.000,0.610,0,39,
7,2007,1132//,2980,0.000,60,0.000,1.029,60,0,2.808
8,2007,11321/,2980,0.000,60,0.000,1.029,60,0,2.808
9,2007,113210,2980,0.000,60,0.000,1.029,60,0,2.808
10,2007,1133//,38496,0.000,278,0.000,0.369,0,278,
11,2007,11331/,38496,0.000,278,0.000,0.369,0,278,
12,2007,113310,38496,0.000,278,0.000,0.369,0,278,
13,2007,114///,7740,0.000,4,0.000,0.026,0,4,
14,2007,1142//,2692,0.000,4,0.000,0.076,0,4,
15,2007,11421/,2692,0.000,4,0.000,0.076,0,4,
16,2007,114210,2692,0.000,4,0.000,0.076,0,4,
17,2007,115///,91189,0.001,181,0.000,0.101,0,181,
18,2007,1151//,62185,0.001,31,0.000,0.025,0,31,
19,2007,11511/,62185,0.001,31,0.000,0.025,0,31,
20,2007,115112,12273,0.000,10,0.000,0.042,0,10,
21,2007,115114,34473,0.000,10,0.000,0.015,0,10,
22,2007,115115,11482,0.000,10,0.000,0.045,0,10,
23,2007,115116,4676,0.000,10,0.000,0.109,0,10,
24,2007,1152//,20759,0.000,88,0.000,0.217,0,88,
25,2007,11521/,20759,0.000,88,0.000,0.217,0,88,
26,2007,115210,20759,0.000,88,0.000,0.217,0,88,
27,2007,1153//,13918,0.000,60,0.000,0.220,0,60,
28,2007,11531/,13918,0.000,60,0.000,0.220,0,60,
29,2007,115310,13918,0.000,60,0.000,0.220,0,60,
30,2007,21----,470999,0.004,1894,0.001,0.205,0,1894,
31,2007,211///,107387,0.001,10,0.000,0.005,0,10,
32,2007,2111//,107387,0.001,10,0.000,0.005,0,10,
33,2007,21111/,107387,0.001,10,0.000,0.005,0,10,
34,2007,211111,100566,0.001,10,0.000,0.005,0,10,
35,2007,212///,165296,0.001,1305,0.001,0.403,0,1305,
36,2007,2123//,90437,0.001,1305,0.001,0.737,0,1305,
