year,naics,usa_employment
2007,000000,113181762
2007,110000,135578
2007,113000,41934
2007,114000,7740
2007,115000,91189
2007,210000,470999
2007,211000,107387
2007,212000,165296
2007,213000,202548
2007,220000,618895
2007,221000,618895
2007,230000,6952406
2007,236000,1591509
2007,237000,947512
2007,238000,4420324
2007,310000,12320988
2007,311000,1297842
2007,312000,161144
2007,313000,149969
2007,314000,147101
2007,315000,183689
2007,316000,35998
2007,321000,405706
2007,322000,403871
2007,323000,619198
2007,324000,104403
2007,325000,767417
2007,326000,796644
2007,327000,445773
2007,331000,408890
2007,332000,1480738
2007,333000,1072618
2007,334000,1046322
2007,335000,394764
2007,336000,1555594
2007,337000,473423
2007,339000,661273
2007,420000,5734297
2007,423000,3289499
2007,424000,2122594
2007,425000,334244
2007,440000,14978061
2007,441000,1843829
2007,442000,580842
2007,443000,493412
2007,444000,1290210
2007,445000,2717029
2007,446000,1025790
2007,447000,772500
2007,448000,1621331
2007,451000,630505
2007,452000,2795862
2007,453000,783636
2007,454000,490302
2007,480000,4220962
2007,481000,507025
2007,483000,74948
2007,484000,1371099
2007,485000,434173
2007,486000,40820
2007,487000,30888
2007,488000,604298
2007,492000,573007
2007,493000,674647
2007,510000,3321990
2007,511000,1019894
2007,512000,323222
2007,515000,292959
2007,516000,50037
2007,517000,1183743
2007,518000,447761
2007,519000,56134
2007,520000,6341306
2007,521000,25364
2007,522000,3114652
2007,523000,941356
2007,524000,2262316
2007,525000,36019
2007,530000,2173047
2007,531000,1522602
2007,532000,621127
2007,533000,34042
2007,540000,7889541
2007,541000,7889541
2007,550000,3118424
2007,551000,3118424
2007,560000,7776427
2007,561000,7433480
2007,562000,343104
2007,610000,2987679
2007,611000,2987679
2007,620000,15990003
2007,621000,5620800
2007,622000,5319316
2007,623000,2815500
2007,624000,2340694
2007,710000,1938086
2007,711000,435647
2007,712000,128534
2007,713000,1384479
2007,720000,11053599
2007,721000,1784750
2007,722000,9267171
2007,810000,5294025
2007,811000,1255463
2007,812000,1348444
2007,813000,2693385
2007,990000,16526
2008,000000,113413799
2008,110000,131648
2008,113000,40359
2008,114000,7980
2008,115000,88976
2008,210000,414977
2008,211000,81698
2008,212000,153441
2008,213000,187827
2008,220000,619442
2008,221000,619442
2008,230000,6737888
2008,236000,1478126
2008,237000,924412
2008,238000,4341866
2008,310000,12128532
2008,311000,1331640
2008,312000,160104
2008,313000,140573
2008,314000,141241
2008,315000,155877
2008,316000,32124
2008,321000,379480
2008,322000,390233
2008,323000,614676
2008,324000,108024
2008,325000,787384
2008,326000,767944
2008,327000,432443
2008,331000,404431
2008,332000,1499071
2008,333000,1088959
2008,334000,1017205
2008,335000,394380
2008,336000,1487376
2008,337000,449718
2008,339000,638437
2008,420000,5911884
2008,423000,3422285
2008,424000,2204737
2008,425000,296397
2008,440000,14827277
2008,441000,1790285
2008,442000,518563
2008,443000,457579
2008,444000,1252108
2008,445000,2700732
2008,446000,981506
2008,447000,777289
2008,448000,1620288
2008,451000,608748
2008,452000,2889971
2008,453000,750782
2008,454000,573228
2008,480000,4277919
2008,481000,517120
2008,483000,76932
